Customer_Name,City,CustomerID,AccountNumber,TerritoryID,PersonID
Ebony  Vance,London,20724,AW00020724,10,9628
Gerald M Vance,London,27841,AW00027841,10,11836
Heidi  Vance,London,14771,AW00014771,10,15246
Joe L Vance,London,28877,AW00028877,10,10992
Martin A Vance,London,25604,AW00025604,10,16731
Jaime  Vazquez,London,22304,AW00022304,10,7074
Meghan W Vazquez,London,15047,AW00015047,10,18809
Michele  Vazquez,London,16934,AW00016934,10,9024
Pedro A Vazquez,London,15686,AW00015686,10,11718
Clayton L Wagner,London,20922,AW00020922,10,12571
Aimee  Wang,London,21011,AW00021011,10,5790
Dawn L Wang,London,27152,AW00027152,10,12150
Glenn R Wang,Berlin,17220,AW00017220,8,5667
Tamara L Wang,London,17881,AW00017881,10,13007
Kelly J Weadock,London,20909,AW00020909,10,3028
Stanley E Weber,London,12311,AW00012311,10,4023
Autumn  Wu,Berlin,22568,AW00022568,8,5919
Dawn T Wu,London,11493,AW00011493,10,12161
Jaclyn  Wu,London,24035,AW00024035,10,12915
Jeffery D Wu,London,25757,AW00025757,10,18046
Lacey T Wu,Berlin,19250,AW00019250,8,12366
Alejandro  Xie,London,25781,AW00025781,10,12527
Carl R Xie,London,18136,AW00018136,10,16939
Carly R Xie,London,13253,AW00013253,10,4484
Katrina M Xie,London,26897,AW00026897,10,16328
Melvin  Xie,London,28426,AW00028426,10,4360
Tasha D Xie,Berlin,24696,AW00024696,8,8612
Bethany F Xu,London,22382,AW00022382,10,17269
Bradley T Xu,Berlin,17994,AW00017994,8,20284
Bridget  Xu,Berlin,14967,AW00014967,8,8565
Franklin D Xu,Berlin,17103,AW00017103,8,8179
Jenny B Xu,Berlin,28744,AW00028744,8,11488
Jenny K Xu,London,12222,AW00012222,10,11456
Jon D Xu,Berlin,16572,AW00016572,8,13583
Laura D Xu,London,16287,AW00016287,10,2398
Marshall K Xu,London,25747,AW00025747,10,11007
Mitchell J Xu,Berlin,12218,AW00012218,8,17129
Omar A Xu,London,22596,AW00022596,10,12699
Omar R Xu,London,19279,AW00019279,10,12734
Willie J Xu,London,14157,AW00014157,10,13355
Kelvin  Yang,London,13404,AW00013404,10,16710
Marshall E Yang,London,12564,AW00012564,10,10846
Omar  Yang,London,12566,AW00012566,10,12682
Ramon K Yang,London,13609,AW00013609,10,6400
Jamie C Ye,London,16329,AW00016329,10,2449
Rosa C Ye,London,19940,AW00019940,10,4962
Bridget  Yuan,London,26211,AW00026211,10,8572
Jerry D Yuan,London,12233,AW00012233,10,16891
Tasha  Yuan,London,20565,AW00020565,10,8623
Aimee  Zeng,London,19342,AW00019342,10,5839
Brent S Zeng,London,21110,AW00021110,10,18029
Gilbert C Zeng,Berlin,20914,AW00020914,8,9132
Martha J Zeng,London,17844,AW00017844,10,4936
Alvin  Zhang,London,19082,AW00019082,10,4272
Brent L Zhang,London,18173,AW00018173,10,17984
Darryl J Zhang,Berlin,24875,AW00024875,8,5606
Margaret G Zhang,London,16058,AW00016058,10,17692
Alvin A Zhao,London,19347,AW00019347,10,4530
Amy C Zhao,London,26416,AW00026416,10,20715
Dennis  Zhao,London,20173,AW00020173,10,17905
Eugene  Zhao,London,12328,AW00012328,10,5465
Stacey J Zhao,London,28365,AW00028365,10,17606
Alvin V Zheng,Berlin,25734,AW00025734,8,4727
Leah R Zheng,London,12627,AW00012627,10,17474
Mandy  Zheng,London,24721,AW00024721,10,5778
Nuan  Zheng,London,13604,AW00013604,10,12614
Valerie R Zheng,London,19312,AW00019312,10,17522
Alejandro A Zhou,London,12304,AW00012304,10,12485
Colin  Zhou,London,17962,AW00017962,10,13440
Curtis  Zhou,London,25505,AW00025505,10,18254
Darryl T Zhou,Berlin,22834,AW00022834,8,5631
Dennis R Zhou,Berlin,17199,AW00017199,8,17903
Jeffery M Zhou,Berlin,24848,AW00024848,8,18050
Leah L Zhou,London,22309,AW00022309,10,17454
Randy J Zhou,Berlin,21825,AW00021825,8,18155
Rosa D Zhou,London,25573,AW00025573,10,4960
Valerie J Zhou,London,17828,AW00017828,10,17497
